都道府県,市区町村,会場名
愛媛県,今治市,テックプログレス連携教室
静岡県,島田市,Seeパソコンくらぶ
秋田県,由利本荘市,秋田県立大
秋田県,にかほ市,秋田県立大
愛媛県,宇和島市,市民パソコン教室宇和島校
静岡県,牧之原市,はりはら塾
秋田県,能代市,能代市子ども館
鹿児島県,奄美市,奄美ITおしごとフェア他
沖縄県,読谷村,CoderDojo嘉手納
新潟県,糸魚川市,上越教育大学
愛媛県,八幡浜市,テックプログレス連携教室
東京都,瑞穂町,西多摩プログラミングクラブ
北海道,中富良野町,FuraIT（高校生向け）
埼玉県,毛呂山町,パソコン市民講座いなげや毛呂教室
茨城県,桜川市,joynetパソコンスクール
茨城県,稲敷市,INAパソコン教室
山梨県,都留市,地域の輪をつくるプログラミング教育の可能性
山梨県,大月市,https://sites.google.com/view/kuzunull/
北海道,苫小牧市,苫小牧高専出前授業
香川県,三豊市,香川高専詫間キャンパス公開講座
京都府,京丹後市,丹後アカデミー
宮崎県,小林市,ミライプログラミング教室
岐阜県,郡上市,郡上ロボットクラブ
